Taxonomy,36_1,37_1,41_1,49_1,38_1,28_1,4_1,15_1,13_1
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus,55,34,9,21,31,262,23,67,42
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;metagenome,2,0,0,0,0,2,0,0,0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured,9,7,9,35,35,73,10,65,17
Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Catabacter;Christensenella,5,0,0,1,0,0,0,1,1
Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Catabacter;unidentified,1,0,0,0,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae,61,10,37,71,27,50,25,1007,3
Firmicutes;Clostridia;Clostridiales;Christensenellaceae;uncultured;uncultured,2,1,0,1,4,2,2,10,1
Firmicutes;Clostridia;Clostridiales;Clostridiaceae,63,61,63,25,35,144,46,152,16
Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitalea;Clostridiales,5,1,1,0,3,1,0,3,1
Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium,2,0,0,0,1,4,4,6,4
Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;Anaerofustis,1,0,0,0,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Family,6,35,21,26,32,17,23,121,30
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum;uncultured,1,1,0,3,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;[Eubacterium,37,31,6,9,25,2,3,14,2
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;[Eubacterium],9,4,1,1,4,0,0,4,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;bacterium,1,1,0,1,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;metagenome,100,54,24,11,44,6,5,25,4
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;uncultured,1258,722,242,136,465,88,81,463,49
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;uncultured,1,0,1,0,0,0,1,1,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter;uncultured,2,0,2,1,0,0,0,1,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes,95,105,33,28,29,9,23,51,28
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;human,68,81,21,13,9,4,9,23,15
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;metagenome,1,0,0,1,0,0,0,3,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;uncultured,549,756,168,167,46,25,94,137,110
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia,46,62,20,9,12,6,31,53,19
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Ruminococcus,2,1,1,0,2,0,1,3,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;metagenome,114,84,43,4,31,24,36,78,38
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;uncultured,691,880,314,114,289,150,351,772,259
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;unidentified,4,1,0,0,0,0,0,0,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio,2,2,1,0,0,0,1,3,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;uncultured,2,3,0,2,1,1,0,1,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus,112,186,44,13,32,62,43,216,27
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea,7,6,3,0,6,4,5,9,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;metagenome,2,23,9,4,9,17,35,49,15
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;uncultured,38,71,21,19,30,41,80,123,27
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella,3,3,16,6,6,12,3,16,4
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter,4,11,0,0,2,0,0,1,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;metagenome,37,16,4,3,2,3,1,13,6
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;uncultured,654,357,89,37,95,29,68,255,80
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066575;uncultured,9,6,3,0,5,5,0,10,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hungatella;bacterium,3,1,0,0,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium,103,60,27,10,16,16,26,79,20
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium,2,4,2,1,4,0,3,1,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium],16,15,2,3,15,6,10,18,6
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;bacterium,1,0,0,0,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;gut,1,1,0,0,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;human,8,11,10,2,14,1,11,3,2
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;metagenome,1,0,2,0,0,0,1,3,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;uncultured,104,102,42,20,69,22,45,326,28
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;unidentified,1,0,0,0,0,1,0,1,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;Lachnospira,4,4,6,2,0,0,0,1,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;gut,11,0,15,5,1,1,0,2,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;uncultured,116,10,206,36,61,28,8,86,5
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;unidentified,3,0,5,0,3,1,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae,405,675,617,198,211,222,325,541,139
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;Lachnotalea,1,3,0,2,1,0,1,3,1
